date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:27:32	9384/9384	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2010:27:34%20GMT	https://kishu.com/robots.txt		(from )
03:27:32	42563/42563	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2010:27:34%20GMT	https://kishu.com/	C:/My%20Web%20Sites/Kishu/kishu.com/index.html	(from )
03:27:33	7772/7772	---MCZ	200	added ('OK')	text/css	etag:W/%227fcf802903485114c68b4b33e711e391%22	https://kishu.com/css/normalize.css	C:/My%20Web%20Sites/Kishu/kishu.com/css/normalize.css	(from https://kishu.com/)
03:27:33	39055/39055	---MCZ	200	added ('OK')	text/css	etag:W/%22b4ab8b975b8b104f3a49b72fab2fe3e6%22	https://kishu.com/css/webflow.css	C:/My%20Web%20Sites/Kishu/kishu.com/css/webflow.css	(from https://kishu.com/)
03:27:34	67970/67970	---MCZ	200	added ('OK')	text/css	etag:W/%2222e4aae486c2b381b156c188698af14c%22	https://kishu.com/css/kishu-finance.webflow.css	C:/My%20Web%20Sites/Kishu/kishu.com/css/kishu-finance.webflow.css	(from https://kishu.com/)
03:27:35	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Kishu/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://kishu.com/)
03:27:35	2227/2227	---M--	200	added ('OK')	image/png	etag:%22f4ad7dba19c65fe9f3d838fab56b8826%22	https://kishu.com/images/favicon.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/favicon.png	(from https://kishu.com/)
03:27:36	27977/27977	---M--	200	added ('OK')	image/png	etag:%2296069a8048799a1a3013add08d8a1943%22	https://kishu.com/images/webclip.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/webclip.png	(from https://kishu.com/)
03:27:36	10099/10099	---M--	200	added ('OK')	text/javascript	etag:%22551df465b63d9b4221343069d25ba0cc%22	https://s3.tradingview.com/external-embedding/embed-widget-single-quote.js	C:/My%20Web%20Sites/Kishu/s3.tradingview.com/external-embedding/embed-widget-single-quote.js	(from https://kishu.com/)
03:27:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:27:39%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/)
03:27:38	82605/82605	---M--	200	added ('OK')	image/gif	etag:%223553305f4832c1914ae03cd7e61c49fa%22	https://kishu.com/images/06-small.gif	C:/My%20Web%20Sites/Kishu/kishu.com/images/06-small.gif	(from https://kishu.com/)
03:27:38	554/554	---M--	200	added ('OK')	image/png	etag:%222933f014f51d5b10aec320bf90f3f128%22	https://kishu.com/images/Ellipse-1-copy-5.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/Ellipse-1-copy-5.png	(from https://kishu.com/)
03:27:38	441/441	---M--	200	added ('OK')	image/png	etag:%220a144013927b3a0a87d3737694b7d619%22	https://kishu.com/images/Ellipse-1-copy-6.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/Ellipse-1-copy-6.png	(from https://kishu.com/)
03:27:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:27:41%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/)
03:27:39	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Jun%202021%2010:27:42%20GMT	https://kishu.com/whitepaper	C:/My%20Web%20Sites/Kishu/kishu.com/whitepaper	(from https://kishu.com/)
03:27:48	83268/83268	---M--	200	added ('OK')	image/png	etag:%228a305d465170076536851c94dc533a21%22	https://kishu.com/images/bowl2x.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/bowl2x.png	(from https://kishu.com/)
03:27:51	54714/54714	---M--	200	added ('OK')	image/png	etag:%22dab58b846f098447c0e44cf52a17b6a3%22	https://kishu.com/images/dream2x.png	C:/My%20Web%20Sites/Kishu/kishu.com/images/dream2x.png	(from https://kishu.com/)
